Wall time,Step,Value
1678410172.84539,1,0.02266739122569561
1678410179.1331322,2,0.0006016278639435768
1678410185.4470346,3,0.01928154192864895
1678410191.8392234,4,0.3345475196838379
1678410198.223307,5,0.48177164793014526
1678410204.5775464,6,0.5420442819595337
1678410210.8494365,7,0.5624108910560608
1678410217.1348093,8,0.587136447429657
1678410223.4177954,9,0.6049778461456299
1678410229.7874012,10,0.6094186902046204
1678410236.0962849,11,0.607696533203125
1678410242.4027271,12,0.619239091873169
1678410248.697721,13,0.6381040811538696
1678410254.965395,14,0.6508014798164368
1678410261.2814167,15,0.6587828397750854
1678410267.550207,16,0.6682392358779907
1678410273.8589885,17,0.6799981594085693
1678410280.1557586,18,0.6729589700698853
1678410286.436935,19,0.6658337712287903
1678410292.7172577,20,0.6715128421783447
1678410299.0401893,21,0.6664682626724243
1678410305.391395,22,0.6756075024604797
1678410311.773167,23,0.6925265789031982
1678410318.1248472,24,0.7056037783622742
1678410324.467873,25,0.7065627574920654
1678410330.7747903,26,0.7054387331008911
1678410337.0985196,27,0.7083694338798523
1678410343.4018712,28,0.7031452655792236
1678410349.8379936,29,0.7067047357559204
1678410356.1707783,30,0.7184308767318726
1678410362.5182722,31,0.7227493524551392
1678410368.8544683,32,0.72238689661026
1678410375.151837,33,0.7230230569839478
1678410381.4536862,34,0.7273824214935303
1678410387.7356162,35,0.7307977080345154
1678410394.0798318,36,0.7361215353012085
1678410400.4255714,37,0.7214688062667847
1678410406.7350926,38,0.7333710193634033
1678410413.0358398,39,0.7299259305000305
1678410419.3177543,40,0.7272782921791077
1678410425.7023556,41,0.7339180111885071
1678410432.0543187,42,0.7460914850234985
1678410438.3817804,43,0.740169882774353
1678410444.6994467,44,0.7492780685424805
1678410451.020619,45,0.7357844114303589
1678410457.3860917,46,0.750953733921051
1678410463.6868455,47,0.7609301209449768
1678410470.1834548,48,0.7599860429763794
1678410476.4832592,49,0.7628806829452515
1678410482.8075225,50,0.7512356042861938
1678410489.1563194,51,0.7539112567901611
1678410495.450855,52,0.7406390309333801
1678410501.7507436,53,0.7553869485855103
1678410508.0779064,54,0.7495721578598022
1678410514.378541,55,0.7699508666992188
1678410520.6875193,56,0.7540612816810608
1678410526.9955597,57,0.752831757068634
1678410533.3573895,58,0.7546237707138062
1678410539.641554,59,0.7601871490478516
1678410546.0062912,60,0.7776934504508972
1678410552.3600733,61,0.7590710520744324
1678410558.627486,62,0.7667863368988037
1678410564.9466238,63,0.7622331976890564
1678410571.2603781,64,0.7690465450286865
1678410577.5765717,65,0.7608138918876648
1678410583.884061,66,0.7759087085723877
1678410590.3266346,67,0.7783200144767761
1678410596.6803088,68,0.7669416069984436
1678410602.9694524,69,0.7921053171157837
1678410609.2716806,70,0.7838204503059387
1678410615.562891,71,0.7714436054229736
1678410621.9472558,72,0.7638951539993286
1678410628.252146,73,0.7693622708320618
1678410634.600296,74,0.7749897241592407
1678410640.9362803,75,0.7876251935958862
1678410647.2508001,76,0.794418454170227
1678410653.5461748,77,0.7938594222068787
1678410659.875618,78,0.7982509136199951
1678410666.2305574,79,0.795411229133606
1678410672.5290363,80,0.7960038781166077
1678410678.8784575,81,0.7930001020431519
1678410685.210323,82,0.8061535954475403
1678410691.5846167,83,0.7765012383460999
1678410697.9862807,84,0.7716206908226013
1678410704.5110867,85,0.7914994359016418
1678410710.9089084,86,0.8031415343284607
1678410717.2662952,87,0.8151979446411133
1678410723.601215,88,0.8185518980026245
1678410729.9244902,89,0.8061098456382751
1678410736.2489495,90,0.7928755283355713
1678410742.645958,91,0.7785787582397461
1678410748.9112875,92,0.7947053909301758
1678410755.249968,93,0.8045368194580078
1678410761.5625658,94,0.8096754550933838
1678410767.8657568,95,0.8246045708656311
1678410774.1754837,96,0.798521876335144
1678410780.491504,97,0.7927921414375305
1678410786.8551319,98,0.8008586764335632
1678410793.210293,99,0.8200307488441467
1678410799.5126607,100,0.824440062046051
